TYPE,CATEGORY,TEXT,HEAD_WIFE,VAR_COUNT,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1999,Y2001,Y2003,Y2005,Y2007,Y2009,Y2011,Y2013,Y2015,Y2017,Y2019
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Total Number Births:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32022
INDIVIDUAL,CHILDREN,"01>CHILDREN:
02>Year Birth History Collected:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32021
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Age:
03>from birthdate:
04>month born:",,26,,,,,,,,,,,,,,,,ER30403,ER30433,ER30467,ER30502,ER30539,ER30574,ER30610,ER30646,ER30693,ER30737,ER30810,ER33105,ER33205,ER33305,ER33405,ER33505,ER33605,ER33705,ER33805,ER33905,ER34005,ER34105,ER34205,ER34306,ER34505,ER34705
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Age:
03>from birthdate:
04>year born:",,26,,,,,,,,,,,,,,,,ER30404,ER30434,ER30468,ER30503,ER30540,ER30575,ER30611,ER30647,ER30694,ER30738,ER30811,ER33106,ER33206,ER33306,ER33406,ER33506,ER33606,ER33706,ER33806,ER33906,ER34006,ER34106,ER34206,ER34307,ER34506,ER34706
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Age:
03>from birthdate:",,10,,,,,,,,,,,,,,,,ER30425,ER30459,ER30494,ER30531,ER30566,ER30602,ER30638,ER30680,ER30723,ER30798,,,,,,,,,,,,,,,,
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Age:",,41,ER30004,ER30023,ER30046,ER30070,ER30094,ER30120,ER30141,ER30163,ER30191,ER30220,ER30249,ER30286,ER30316,ER30346,ER30376,ER30402,ER30432,ER30466,ER30501,ER30538,ER30573,ER30609,ER30645,ER30692,ER30736,ER30809,ER33104,ER33204,ER33304,ER33404,ER33504,ER33604,ER33704,ER33804,ER33904,ER34004,ER34104,ER34204,ER34305,ER34504,ER34704
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>first/only
04>date began
05>month:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32035
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>first/only
04>date began
05>year:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32036
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>first/only
04>date ended
05>month:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32038
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>first/only
04>date ended
05>year:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32039
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>first/only
04>date separated
05>month:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32040
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>first/only
04>date separated
05>year:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32041
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>first/only
04>how ended:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32037
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>last
04>date began
05>month:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32042
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>last
04>date began
05>year:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32043
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>last
04>date ended
05>month:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32045
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>last
04>date ended
05>year:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32046
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>last
04>date separated
05>month:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32047
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>last
04>date separated
05>year:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32048
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>last
04>how ended:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32044
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>marital status, last known:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32049
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>total number:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32034
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Marriage
03>year marriage history collected:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32033
INDIVIDUAL,DEMOGRAPHIC,"01>DEMOGRAPHIC:
02>Sex:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER32000
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Attendance
03>full-time or part-time student, whether
04>if in school:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33221,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Attendance
03>full-time or part-time student, whether
04>if not in school:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33226,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>attended, whether:
05>highest year completed:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34334,ER34533,ER34733
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>attended, whether:
05>month last attended:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34332,ER34531,ER34731
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>attended, whether:
05>year last attended:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34333,ER34532,ER34732
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>attended, whether:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34331,ER34530,ER34730
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>bachelor degree
05>major area of study, mention 1:
06>CIP 2010 code, 2-digit:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34736
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>bachelor degree
05>major area of study, mention 1:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34224,ER34337,ER34536,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>bachelor degree
05>major area of study, mention 2:
06>CIP 2010 code, 2-digit:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34737
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>bachelor degree
05>major area of study, mention 2:",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34338,ER34537,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>bachelor degree
05>month graduated:",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34222,ER34339,ER34538,ER34740
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>bachelor degree
05>year graduated:",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34223,ER34340,ER34539,ER34741
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>college degree, whether:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34335,ER34534,ER34734
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>highest college degree
05>major area of study, mention 1:
06>CIP 2010 code, 2-digit:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34742
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>highest college degree
05>major area of study, mention 1:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34227,ER34341,ER34540,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>highest college degree
05>major area of study, mention 2:
06>CIP 2010 code, 2-digit:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34743
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>highest college degree
05>major area of study, mention 2:",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34342,ER34541,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>highest college degree
05>month graduated:",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34225,ER34343,ER34542,ER34746
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>highest college degree
05>type:",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34221,ER34336,ER34535,ER34735
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>College
04>highest college degree
05>year graduated:",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34226,ER34344,ER34543,ER34747
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>Foreign Education
04>educated outside US, whether:
05>number of years:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34345,ER34544,ER34748
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>Foreign Education
04>educated outside US, whether:
05>received degree, whether:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34346,ER34545,ER34749
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>Foreign Education
04>educated outside US, whether:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34319,ER34518,ER34718
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>GED recipient
04>highest grade level completed:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34323,ER34522,ER34722
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>GED recipient
04>month last attended:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34324,ER34523,ER34723
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>GED recipient
04>month received:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34326,ER34525,ER34725
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>GED recipient
04>year last attended:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34325,ER34524,ER34724
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>GED recipient
04>year received:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34327,ER34526,ER34726
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>grades completed (cross year):",,2,,,,,ER30110,,,ER30181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>grades completed:",,40,ER30010,,ER30052,ER30076,ER30100,ER30126,ER30147,ER30169,ER30197,ER30226,ER30255,ER30296,ER30326,ER30356,ER30384,ER30413,ER30443,ER30478,ER30513,ER30549,ER30584,ER30620,ER30657,ER30703,ER30748,ER30820,ER33115,ER33215,ER33315,ER33415,ER33516,ER33616,ER33716,ER33817,ER33917,ER34020,ER34119,ER34230,ER34349,ER34548,ER34752
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>high school graduate
04>month graduated:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34321,ER34520,ER34720
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>high school graduate
04>year graduated:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34322,ER34521,ER34721
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>high school nongraduate, no GED
04>highest grade level completed:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34328,ER34527,ER34727
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>high school nongraduate, no GED
04>month last attended:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34329,ER34528,ER34728
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>high school nongraduate, no GED
04>year last attended:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34330,ER34529,ER34729
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>high school/GED, whether:",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34220,ER34320,ER34519,ER34719
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>highest grade completed:
04>if in school:
05>graduated high school or has ged, whether:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33223,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>highest grade completed:
04>if in school:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33222,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>highest grade completed:
04>if not in school:
05>ged, whether:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33228,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>highest grade completed:
04>if not in school:
05>graduated high school or has ged, whether:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33229,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>highest grade completed:
04>if not in school:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33227,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>highest grade completed:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34219,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Completed Education
03>year updated:",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34318,ER34517,ER34717
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Current Enrollment
03>attended at time of interview, whether:
04>month last attended, if not in school:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33224,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Current Enrollment
03>attended at time of interview, whether:
04>other family unit member:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33220,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Current Enrollment
03>attended at time of interview, whether:
04>year last attended, if not in school:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33225,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Current Enrollment
03>attended at time of interview, whether:",,1,ER30009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Current Enrollment
03>currently enrolled, whether:
04>grade enrolled:",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34229,ER34348,ER34547,ER34751
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Current Enrollment
03>currently enrolled, whether:",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER34228,ER34347,ER34546,ER34750
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Current Enrollment
03>extracurricular activities, whether in:
04>frequency of:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33274,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Current Enrollment
03>extracurricular activities, whether in:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33273,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>attended during previous year, whether:
04>weeks attended:",,3,,,,,,,,,,,,ER30295,ER30325,ER30355,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>attended during previous year, whether:",,25,,,,,,,,,,,,ER30294,ER30324,ER30354,ER30383,ER30412,ER30442,ER30477,ER30512,ER30548,ER30583,ER30619,ER30656,ER30702,ER30747,ER30819,ER33114,ER33214,ER33314,ER33414,ER33515,ER33615,ER33715,ER33816,ER33916,ER34019,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>nursery school, preschool, or day care program, whether ever enrolled:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33264,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>grade, mention 01:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33232,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>grade, mention 02:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33233,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>grade, mention 03:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33234,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>grade, mention 04:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33235,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>grade, mention 05:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33236,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>grade, mention 06:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33237,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>grade, mention 07:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33238,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>grade, mention 08:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33239,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>grade, mention 09:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33240,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>grade, mention 10:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33241,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>grade, mention 11:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33242,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>grade, mention 12:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33243,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>if in school:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33230,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>if not in school:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33231,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>private school, whether attended
04>religious or non-sectarian, whether:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33244,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>stopped attending during previous year, whether:
04>month:",,21,,,,,,,,,,,,,,,,,,ER30475,ER30510,ER30546,ER30581,ER30617,ER30654,ER30700,ER30745,ER30817,ER33112,ER33212,ER33312,ER33412,ER33513,ER33613,ER33713,ER33814,ER33914,ER34017,ER34117,ER34217,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>stopped attending during previous year, whether:
04>year:",,21,,,,,,,,,,,,,,,,,,ER30476,ER30511,ER30547,ER30582,ER30618,ER30655,ER30701,ER30746,ER30818,ER33113,ER33213,ER33313,ER33413,ER33514,ER33614,ER33714,ER33815,ER33915,ER34018,ER34118,ER34218,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>stopped attending during previous year, whether:",,10,,ER30028,ER30051,ER30075,ER30099,ER30125,ER30146,ER30168,ER30196,ER30225,ER30254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Enrollment History
03>suspended or expelled, whether:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33265,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Grade Repetition
03>repeated grades because of school recommendation, whether:
04>grade, mention 01:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33247,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Grade Repetition
03>repeated grades because of school recommendation, whether:
04>grade, mention 02:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33248,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Grade Repetition
03>repeated grades because of school recommendation, whether:
04>grade, mention 03:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33249,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Grade Repetition
03>repeated grades because of school recommendation, whether:
04>grade, mention 04:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33250,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Grade Repetition
03>repeated grades because of school recommendation, whether:
04>grade, mention 05:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33251,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Grade Repetition
03>repeated grades because of school recommendation, whether:
04>grade, mention 06:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33252,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Grade Repetition
03>repeated grades because of school recommendation, whether:
04>grade, mention 07:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33253,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Grade Repetition
03>repeated grades because of school recommendation, whether:
04>grade, mention 08:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33254,,,,,,,,,,,,,
INDIVIDUAL,EDUCATION,"01>EDUCATION:
02>Grade Repetition
03>repeated grades because of school recommendation, whether:
04>grade, mention 09:",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER33255,,,,,,,,,,,,,
